17-44-37 126.0
17-44-37 126.5
17-44-38 127.5
17-44-38 127.0
17-44-39 128.5
17-44-39 128.0
17-44-40 129.5
17-44-40 129.0
17-44-41 130.5
17-44-41 130.0
17-44-42 131.5
17-44-42 131.0
17-44-43 132.0
17-44-43 132.5
17-44-44 133.0
17-44-44 133.5
17-44-45 134.0
17-44-45 134.5
17-44-46 135.5
17-44-46 135.0
17-44-47 136.5
17-44-47 136.0
17-44-48 137.5
17-44-48 137.0
17-44-49 138.0
17-44-49 138.5
17-44-50 139.0
17-44-50 139.5
17-44-51 140.5
17-44-51 140.0
17-44-52 141.0
17-44-52 141.5
17-44-53 142.5
17-44-53 142.0
17-44-54 143.5
17-44-54 143.0
17-44-56 140.0
17-44-56 140.5
17-44-57 141.0
17-44-57 141.5
17-44-58 142.5
17-44-58 142.0
17-44-59 143.5
17-44-59 143.0
17-45-00 144.5
17-45-00 144.0
17-45-01 145.0
17-45-01 145.5
17-45-02 146.0
17-45-02 146.5
17-45-03 147.0
17-45-03 147.5
17-45-04 148.0
17-45-04 148.5
17-45-05 149.0
17-45-05 149.5
17-45-06 150.0
17-45-06 150.5
17-45-07 151.0
17-45-07 151.5
17-45-08 152.0
17-45-08 152.5
17-45-09 153.0
17-45-09 153.5
17-45-10 154.0
17-45-10 154.5
17-45-11 155.5
17-45-11 155.0
17-45-12 156.5
17-45-12 156.0
17-45-13 157.5
17-45-13 157.0
17-45-14 158.5
17-45-14 158.0
17-45-15 159.5
17-45-15 159.0
17-45-16 160.0
17-45-16 160.5
17-45-17 161.0
17-45-17 161.5
17-45-18 162.0
17-45-18 162.5
17-45-19 163.0
17-45-19 163.5
17-45-20 164.5
17-45-20 164.0
17-45-21 165.5
17-45-21 165.0
17-45-22 166.5
17-45-22 166.0
17-45-23 167.5
17-45-23 167.0
17-45-24 168.5
17-45-24 168.0
17-45-25 169.5
17-45-25 169.0
17-45-26 170.5
17-45-26 170.0
17-45-27 171.5
17-45-27 171.0
17-45-28 172.5
17-45-28 172.0
17-45-29 173.5
17-45-29 173.0
17-45-30 174.5
17-45-30 174.0
17-45-31 175.5
17-45-31 175.0
17-45-32 176.5
17-45-32 176.0
17-45-33 177.5
17-45-33 177.0
17-45-34 178.5
17-45-34 178.0
17-45-35 179.0
17-45-35 179.5
17-45-36 180.5
17-45-36 180.0
17-45-37 181.0
17-45-37 181.5
17-45-38 182.0
17-45-38 182.5
17-45-39 183.0
17-45-39 183.5
17-45-40 184.0
17-45-40 184.5
17-45-41 185.5
17-45-41 185.0
17-45-42 186.5
17-45-42 186.0
17-45-43 187.0
17-45-43 187.5
17-45-44 188.0
17-45-44 188.5
17-45-45 189.0
17-45-45 189.5
17-45-46 190.5
17-45-46 190.0
17-45-47 191.5
17-45-47 191.0
17-45-48 192.5
17-45-48 192.0
17-45-49 193.5
17-45-49 193.0
17-45-50 194.5
17-45-50 194.0
17-45-51 195.5
17-45-51 195.0
17-45-52 196.5
17-45-52 196.0
17-45-53 197.5
17-45-53 197.0
17-45-54 198.5
17-45-54 198.0
17-45-55 199.5
17-45-55 199.0
17-45-56 200.0
17-45-56 200.5
